id,male,age,marital,education,balance,housing,treatment,donation
30429,1,36,married,secondary,198,no,1,293.4
30430,0,49,divorced,secondary,-701,yes,1,283.3
30431,1,38,married,tertiary,126,yes,1,285.8
30432,1,40,married,tertiary,1603,yes,1,328.1
30433,1,45,married,tertiary,2033,no,0,258.8
30434,1,48,married,tertiary,998,yes,1,310.7
30435,0,34,divorced,secondary,202,yes,0,179
30436,1,25,married,secondary,-76,yes,0,202.4
30437,1,32,married,secondary,-33,no,1,275.2
30438,0,33,single,secondary,291,yes,1,200.2
30439,0,53,single,primary,2398,no,1,300.8
30440,0,28,married,secondary,655,yes,0,187.3
30441,0,55,married,secondary,865,yes,0,255.5
30442,1,52,married,secondary,-588,no,0,285.3
30443,0,30,married,tertiary,1476,yes,1,238
30444,1,39,married,primary,385,yes,1,255.7
30445,0,47,married,secondary,310,yes,1,315.3
30446,1,34,married,secondary,360,yes,1,222.4
30447,0,51,single,secondary,1178,yes,1,285.8
30448,1,52,married,tertiary,0,no,0,300.8
30449,0,40,married,secondary,1836,yes,1,272.9
30450,1,55,single,tertiary,481,yes,1,382.4
30451,1,59,married,tertiary,2729,no,1,307.1
30452,1,46,married,unknown,217,yes,0,306.6
30453,1,42,married,secondary,439,yes,0,219.4
30454,1,40,married,secondary,260,yes,1,275.7
30455,0,52,married,tertiary,826,yes,1,250
30456,0,29,married,secondary,182,yes,0,149.5
30457,0,51,married,secondary,1840,yes,0,256.9
30458,1,40,married,tertiary,-117,yes,1,282.3
30459,1,30,single,primary,209,no,0,163.6
30460,0,41,divorced,tertiary,1057,no,0,262.6
30461,1,39,married,tertiary,14,no,1,236.9
30462,0,26,single,secondary,443,no,1,220.1
30463,1,45,married,secondary,0,no,1,263.8
30464,0,27,single,primary,-179,no,1,192
30465,1,31,single,tertiary,12569,no,1,230.8
30466,0,52,divorced,primary,4382,no,0,243.6
30467,1,31,single,secondary,469,yes,1,230.8
30468,1,50,single,unknown,4374,yes,1,324.5
30469,0,31,married,secondary,0,yes,0,204.2
30470,1,41,divorced,secondary,174,no,0,228.8
30471,1,37,single,secondary,267,yes,1,269.5
30472,1,38,married,primary,0,yes,1,239.8
30473,0,36,divorced,tertiary,69,no,0,165.7
30474,1,30,divorced,tertiary,948,no,1,226.9
30475,1,56,single,primary,1906,no,0,253.2
30476,0,23,married,primary,103,yes,1,199.3
30477,0,37,single,secondary,2442,no,0,187.5
30478,1,32,single,secondary,2979,no,0,207.5
30479,0,49,married,secondary,1103,yes,1,249.7
30480,1,49,single,secondary,320,yes,1,321.6
30481,0,35,married,secondary,1160,yes,0,233.7
30482,1,29,single,tertiary,21,yes,1,229.7
30483,1,46,married,tertiary,1410,no,1,301.1
30484,0,42,divorced,secondary,6046,yes,0,186.8
30485,1,37,married,unknown,897,yes,1,266.7
30486,0,59,married,secondary,42,no,0,280.3
30487,1,28,single,secondary,317,no,1,238.7
30488,1,41,married,secondary,-256,yes,1,272.6
30489,0,32,married,secondary,132,no,0,217.4
30490,1,40,married,secondary,1451,yes,1,296.4
30491,1,42,married,secondary,1289,no,1,276.4
30492,1,56,divorced,primary,0,no,0,282.5
30493,0,59,single,secondary,204,no,1,334.7
30494,1,54,single,secondary,448,no,0,289.8
30495,1,40,divorced,secondary,399,yes,1,276.1
30496,1,29,single,tertiary,4210,yes,1,245.3
30497,1,39,married,primary,1564,yes,1,304.8
30498,0,60,married,secondary,197,yes,1,328.7
30499,0,37,married,secondary,430,yes,0,225.2
30500,1,28,single,secondary,378,no,1,238.4
30501,0,29,married,secondary,182,yes,0,222.3
30502,1,30,single,tertiary,18,no,1,237.5
30503,1,41,married,tertiary,5883,yes,0,220.8
30504,1,53,married,secondary,206,yes,1,298.2
30505,1,48,single,secondary,1526,yes,0,249
30506,1,42,single,primary,704,no,0,238.5
30507,0,54,married,secondary,-932,yes,0,283.9
30508,0,46,married,secondary,1550,yes,0,251.5
30509,0,34,single,secondary,0,no,0,197.8
30510,1,27,single,tertiary,446,no,1,230.4
30511,0,38,single,tertiary,744,yes,0,215.8
30512,1,28,single,secondary,198,no,0,234.5
30513,1,58,divorced,secondary,2538,yes,1,310.3
30514,1,45,single,primary,844,no,1,257.7
30515,0,37,divorced,primary,0,yes,0,192.2
30516,0,59,single,secondary,0,no,0,225.3
30517,1,42,married,primary,0,yes,1,288.3
30518,1,55,married,secondary,186,no,0,307.9
30519,1,34,married,secondary,1007,yes,1,229.7
30520,1,41,married,secondary,-256,yes,1,251
30521,0,32,married,secondary,736,yes,0,175.3
30522,1,37,married,tertiary,489,yes,1,288.5
30523,1,37,married,secondary,954,yes,0,230.6
30524,1,38,single,tertiary,0,no,1,262.8
30525,1,37,married,tertiary,489,yes,1,245.3
30526,0,39,married,tertiary,691,yes,0,188.1
30527,1,37,married,tertiary,836,yes,1,255.9
30528,1,35,married,secondary,0,yes,0,184
30529,0,49,married,primary,563,no,0,250.7
30530,0,42,married,primary,0,yes,0,206.2
30531,1,39,married,secondary,-540,yes,0,231.8
30532,0,36,divorced,tertiary,1057,no,0,220.3
30533,1,56,single,tertiary,3172,yes,0,311.2
30534,1,35,married,secondary,181,yes,0,208.4
30535,1,39,married,secondary,1439,yes,0,248
30536,0,34,married,secondary,516,yes,1,234.3
30537,1,34,single,tertiary,1171,yes,1,246.1
30538,0,33,married,secondary,3576,yes,0,194.9
30539,1,45,married,secondary,1415,yes,0,260.2
30540,1,34,married,secondary,2,yes,1,248.3
30541,1,25,married,tertiary,3931,yes,1,255.9
30542,0,20,single,secondary,6844,yes,0,157.1
30543,1,53,married,unknown,431,no,0,270.2
30544,1,32,single,tertiary,3616,yes,0,205.1
30545,0,66,married,tertiary,2262,no,1,323.2
30546,0,48,married,secondary,4415,yes,0,284.5
30547,1,45,married,secondary,49,no,1,303.2
30548,1,34,married,secondary,114,yes,1,251.5
30549,0,47,married,secondary,1203,yes,1,269.7
30550,0,51,married,secondary,1840,no,1,281.6
30551,1,55,married,tertiary,481,no,1,349.1
30552,1,34,married,secondary,250,no,1,261.5
30553,1,37,divorced,tertiary,168,yes,1,270
30554,0,33,single,tertiary,335,yes,1,246.4
30555,0,43,divorced,secondary,1413,yes,0,215
30556,0,38,divorced,secondary,0,yes,1,270.3
30557,1,37,married,tertiary,0,no,1,270.7
30558,1,31,married,tertiary,1343,yes,1,237.5
30559,1,30,married,unknown,5969,no,0,237.4
30560,1,42,married,primary,505,yes,0,238.5
30561,1,55,married,unknown,1621,yes,1,329.7
30562,0,53,married,primary,27,yes,1,259.9
30563,0,29,single,tertiary,15459,yes,0,152.6
30564,0,40,married,tertiary,-1212,no,0,217
30565,0,33,divorced,secondary,-399,yes,0,214.8
30566,1,33,married,secondary,220,yes,1,238.1
30567,0,32,married,secondary,34,no,0,167.6
30568,0,48,divorced,secondary,1139,yes,1,301.3
30569,1,43,married,secondary,3215,yes,1,332
30570,1,37,married,tertiary,1689,no,1,252.6
30571,0,31,married,tertiary,259,yes,1,240.5
30572,1,36,married,primary,179,no,1,249.4
30573,1,44,married,tertiary,332,yes,0,268.1
30574,0,38,married,tertiary,170,no,1,266.2
