id,male,age,marital,education,balance,housing,treatment,donation
10130,1,41,married,secondary,849,yes,0,231.4
10131,1,30,married,tertiary,-336,yes,1,242
10132,0,41,married,secondary,1249,no,0,242.4
10133,0,31,single,secondary,96,no,1,221.6
10134,0,47,married,tertiary,57,no,0,274.4
10135,0,55,divorced,tertiary,-703,no,0,273.5
10136,0,28,single,primary,1199,yes,1,219.1
10137,1,28,single,tertiary,517,yes,1,190.6
10138,1,33,married,secondary,43,yes,1,252.3
10139,1,27,single,primary,1566,no,0,231.7
10140,0,55,divorced,tertiary,138,no,1,280.9
10141,1,36,married,tertiary,472,yes,1,261.5
10142,0,45,married,tertiary,1783,no,0,188.3
10143,1,59,married,secondary,2729,no,1,327
10144,0,37,divorced,secondary,2998,yes,0,257
10145,1,30,single,secondary,985,yes,0,234.2
10146,0,28,single,tertiary,1532,yes,0,183.6
10147,0,31,married,tertiary,430,no,1,233.7
10148,0,36,single,secondary,774,no,0,199.1
10149,0,41,married,secondary,0,no,1,259
10150,1,47,married,tertiary,7708,no,0,261.7
10151,0,42,single,secondary,308,yes,1,267.5
10152,1,36,married,secondary,0,yes,1,254.5
10153,1,81,married,tertiary,1097,no,0,351.9
10154,1,49,single,secondary,523,yes,0,263.8
10155,1,34,married,secondary,622,yes,0,261
10156,0,32,divorced,tertiary,1354,yes,1,250.1
10157,1,50,married,tertiary,3924,yes,1,296
10158,1,55,single,tertiary,3873,no,1,336.1
10159,0,31,married,secondary,-120,yes,0,172.8
10160,1,49,divorced,secondary,164,no,1,264.4
10161,1,56,single,tertiary,3391,no,1,320.7
10162,1,32,married,tertiary,119,yes,0,201.7
10163,0,45,single,secondary,0,yes,0,254.2
10164,0,35,married,secondary,20,no,1,191.1
10165,0,30,married,tertiary,1221,yes,0,186.4
10166,1,39,married,secondary,20,yes,1,283.8
10167,0,40,married,tertiary,3658,yes,1,227.4
10168,0,45,married,secondary,13117,no,0,204.5
10169,1,71,married,secondary,473,no,1,323.9
10170,0,47,married,tertiary,3285,no,1,296.3
10171,1,37,married,secondary,954,yes,1,266
10172,0,57,single,tertiary,1044,no,1,296.7
10173,0,32,married,secondary,923,yes,1,233.4
10174,0,37,divorced,secondary,511,yes,0,204.3
10175,0,49,single,primary,3897,no,0,247.3
10176,1,46,divorced,secondary,-852,no,0,230.6
10177,0,44,married,tertiary,3706,no,0,250.9
10178,0,32,single,tertiary,2629,yes,1,225.7
10179,0,35,married,tertiary,839,yes,0,231.6
10180,1,26,single,tertiary,1347,no,1,239.3
10181,0,46,single,primary,0,yes,1,280.7
10182,0,35,divorced,tertiary,148,yes,0,201.8
10183,1,57,married,tertiary,0,no,0,299.6
10184,0,60,single,tertiary,2131,no,1,298.8
10185,1,39,married,primary,238,yes,0,265.3
10186,1,45,married,secondary,1529,no,1,287.3
10187,1,37,married,tertiary,427,yes,1,264
10188,0,28,single,primary,26,yes,1,183.1
10189,1,32,divorced,tertiary,202,no,1,224.9
10190,0,52,married,secondary,0,no,1,294
10191,1,54,married,secondary,22,yes,0,307.1
10192,1,32,single,secondary,259,no,0,225.2
10193,0,44,married,tertiary,795,no,0,202.9
10194,1,32,married,unknown,1031,yes,0,243.2
10195,0,36,single,secondary,1534,yes,0,241.2
10196,0,52,married,secondary,2347,yes,0,228.2
10197,0,26,married,tertiary,37,yes,1,215.7
10198,1,31,single,tertiary,874,yes,1,250.7
10199,0,48,married,secondary,279,yes,1,298.9
10200,0,35,married,tertiary,0,no,1,258.2
10201,0,42,married,unknown,5639,yes,1,240.7
10202,1,29,single,primary,534,no,1,253.5
10203,1,39,married,secondary,124,no,1,268.5
10204,0,32,married,secondary,950,yes,1,230.7
10205,1,62,married,tertiary,367,no,0,306.7
10206,1,53,divorced,unknown,0,no,1,309.6
10207,1,56,married,secondary,2146,no,0,309.6
10208,0,31,married,secondary,5191,no,1,241.1
10209,1,50,married,primary,341,yes,0,294.7
10210,1,30,single,secondary,201,no,1,229.8
10211,1,51,married,primary,0,no,1,335.4
10212,0,29,single,unknown,1445,no,0,192.9
10213,0,36,married,tertiary,1318,no,0,193.3
10214,1,44,married,secondary,508,yes,1,304
10215,1,87,married,secondary,0,no,1,409.8
10216,0,61,single,tertiary,2917,no,0,239
10217,0,50,divorced,secondary,907,yes,0,284.5
10218,1,29,single,tertiary,872,yes,1,260.4
10219,0,33,divorced,primary,1354,yes,1,282.8
10220,1,31,married,primary,-518,yes,1,261.2
10221,1,23,single,secondary,246,no,1,202.3
10222,1,44,married,secondary,17361,no,0,235.2
10223,0,57,married,secondary,1602,yes,1,319.1
10224,1,32,married,tertiary,5969,no,0,214.1
10225,1,34,married,secondary,1221,no,1,278.2
10226,0,38,married,secondary,1960,yes,1,230.8
10227,1,44,married,primary,-14,yes,1,301.6
10228,1,30,single,tertiary,1924,yes,1,265
10229,0,42,single,secondary,382,yes,1,234
10230,1,41,divorced,secondary,3355,no,1,297.8
10231,1,58,married,secondary,5092,yes,1,378.7
10232,0,49,married,secondary,563,no,0,237.8
10233,0,46,single,tertiary,46,yes,1,282.3
10234,0,43,married,secondary,7343,yes,1,297.9
10235,1,30,married,secondary,946,yes,0,185.5
10236,0,32,single,tertiary,2,no,0,211.7
10237,0,58,divorced,tertiary,174,no,0,313.9
10238,0,48,married,primary,5462,no,1,279
10239,0,38,single,secondary,427,no,1,251.4
10240,1,34,married,secondary,197,no,0,232.5
10241,1,36,married,tertiary,6,no,1,255
10242,1,43,married,primary,2567,yes,0,238.2
10243,1,42,divorced,secondary,1533,no,0,252.4
10244,0,28,single,secondary,0,yes,1,203.7
10245,1,57,married,secondary,50,yes,1,296.5
10246,1,71,married,tertiary,14220,no,1,370.7
10247,1,40,married,primary,0,no,1,246.9
10248,0,49,married,secondary,2201,no,1,269.1
10249,0,43,married,secondary,8167,yes,0,206.8
10250,1,49,single,unknown,273,yes,0,239.5
10251,1,39,married,secondary,1438,yes,0,242.1
10252,0,30,single,tertiary,185,no,1,235.1
10253,0,49,married,secondary,-1680,yes,1,257.4
10254,0,45,single,tertiary,2087,yes,1,278.3
10255,1,55,married,tertiary,1665,yes,0,283.7
10256,1,56,married,secondary,784,yes,0,294.3
10257,1,32,married,tertiary,180,yes,1,229.5
10258,1,31,married,secondary,2581,no,1,218
10259,1,40,married,tertiary,-117,yes,1,259.3
10260,1,58,married,tertiary,2705,no,1,315.9
10261,0,32,single,secondary,1218,yes,1,215.4
10262,0,30,married,secondary,673,yes,1,208.3
10263,1,42,married,tertiary,-396,yes,1,274.1
10264,1,51,single,secondary,16,yes,0,254.1
10265,0,47,married,tertiary,3333,no,1,229
10266,1,46,married,secondary,1410,yes,0,278.3
10267,1,48,married,primary,0,yes,0,258.8
10268,0,37,married,primary,11,no,0,204.6
10269,1,31,single,tertiary,1,yes,1,252.7
10270,0,54,married,secondary,2281,no,1,261.4
10271,1,57,married,tertiary,0,no,0,296.9
10272,0,59,married,tertiary,2381,no,1,308.4
10273,1,53,married,tertiary,2581,no,0,323.3
10274,1,58,married,secondary,1621,no,0,282.9
10275,0,28,single,tertiary,-427,no,1,246.5
10276,0,60,single,secondary,27,no,0,302.2
10277,0,33,divorced,secondary,1897,yes,1,205.6
10278,1,34,married,primary,1387,yes,1,279.9
10279,1,35,married,secondary,0,yes,1,266.7
10280,0,29,single,tertiary,778,yes,1,205.8
10281,1,44,divorced,primary,-237,yes,1,245.4
10282,1,31,single,secondary,40,no,1,231.3
10283,1,60,married,secondary,1472,no,0,304.3
10284,0,46,married,tertiary,4958,yes,1,288
10285,0,51,married,primary,-3,no,0,224.5
10286,0,52,married,tertiary,255,yes,1,300.7
10287,1,36,married,primary,2357,no,0,222.1
10288,0,30,single,unknown,236,no,0,220.5
10289,1,37,married,secondary,103,yes,1,270.7
10290,0,41,married,secondary,1666,no,1,213.6
10291,1,35,married,secondary,2789,no,0,258.4
10292,1,29,married,secondary,22171,yes,1,255.6
10293,1,34,married,tertiary,3301,yes,1,236.1
10294,0,38,divorced,primary,511,yes,0,219.1
10295,0,29,single,unknown,1026,no,0,166.6
10296,0,31,single,secondary,1626,yes,0,201.2
10297,1,41,married,tertiary,4684,no,0,205.2
10298,1,36,married,tertiary,11,no,1,254.4
10299,0,56,married,secondary,344,yes,0,252.3
10300,0,38,married,primary,3419,yes,0,207.6
10301,1,29,single,tertiary,218,yes,1,265.8
10302,0,53,married,tertiary,12,yes,0,241.1
10303,0,32,married,secondary,2349,yes,1,199.6
10304,0,48,single,unknown,3727,yes,0,225.8
10305,1,38,single,secondary,0,yes,0,266.1
10306,1,37,married,secondary,215,yes,1,266.5
10307,1,55,married,secondary,1983,no,1,371.7
10308,0,43,married,secondary,520,yes,0,185.4
10309,1,32,married,secondary,-220,yes,0,214.1
10310,1,37,divorced,secondary,608,no,1,265.9
10311,1,56,married,tertiary,3172,no,0,336.7
10312,1,55,married,secondary,0,no,0,306.6
10313,0,60,married,secondary,2552,no,1,331.2
10314,1,60,married,secondary,7337,no,1,322.4
10315,0,33,married,secondary,687,yes,1,211.1
10316,0,54,married,secondary,1157,yes,1,294.2
10317,0,32,single,secondary,1670,yes,1,229.6
10318,1,31,single,secondary,40,no,1,217.6
10319,0,26,married,unknown,10,yes,1,190
10320,1,37,married,secondary,7944,yes,1,282.2
10321,1,34,married,tertiary,7,yes,0,222
10322,0,31,single,tertiary,315,no,0,149.2
10323,0,42,single,tertiary,251,yes,0,209.5
10324,0,45,married,primary,677,no,0,208.8
10325,0,53,married,secondary,2240,yes,1,275.8
10326,0,73,single,secondary,2590,no,0,267.3
10327,1,36,married,primary,63,yes,0,244.2
10328,1,29,single,secondary,534,no,1,245.3
10329,0,58,married,tertiary,1798,yes,0,276.9
10330,1,36,single,secondary,613,no,1,272.3
10331,0,42,married,secondary,230,no,0,240
10332,0,27,single,secondary,212,no,1,209.4
10333,0,47,married,tertiary,665,no,0,213.4
10334,1,53,married,secondary,206,yes,0,294.8
10335,0,31,married,secondary,440,yes,1,230.8
10336,0,26,single,secondary,350,no,0,165.5
10337,1,32,married,tertiary,3107,yes,0,219.9
10338,1,38,single,secondary,917,yes,0,215.6
10339,1,34,married,secondary,4170,yes,0,226
10340,0,49,single,secondary,981,no,1,277.8
10341,1,38,married,secondary,3732,yes,1,261.8
10342,0,50,single,secondary,3096,no,1,284.7
10343,1,34,married,secondary,622,yes,1,273.7
10344,0,43,married,tertiary,0,yes,0,266.5
10345,1,49,married,tertiary,273,yes,0,279.8
10346,1,32,married,unknown,-53,no,1,263.1
10347,0,44,divorced,tertiary,221,yes,1,232.8
10348,0,43,married,primary,2519,yes,0,282.9
10349,0,48,married,secondary,0,no,1,301.5
10350,1,30,married,secondary,1942,yes,1,268.9
10351,1,37,married,primary,836,yes,1,271.6
10352,1,75,divorced,tertiary,1341,no,0,352.4
10353,0,36,married,secondary,1327,no,0,217.8
10354,0,51,married,secondary,3180,yes,0,260.6
10355,0,32,married,secondary,103,no,1,228.3
10356,0,55,married,secondary,2587,no,1,304.7
10357,0,52,married,primary,-970,yes,0,251.2
10358,0,31,married,secondary,401,yes,1,193.5
10359,1,38,married,secondary,0,yes,1,295.1
10360,0,31,married,secondary,1354,yes,0,191.9
10361,1,56,divorced,primary,-435,yes,0,323.5
10362,1,26,single,tertiary,205,no,1,229.5
10363,0,33,married,secondary,3696,yes,1,238.9
10364,0,40,divorced,secondary,-81,yes,1,266.7
10365,1,26,single,tertiary,63,yes,0,236.3
10366,0,36,married,secondary,55,no,1,227.1
10367,1,56,married,secondary,2190,no,0,296.5
10368,1,66,divorced,secondary,696,no,1,381.3
10369,0,32,married,secondary,5878,no,1,208.5
10370,1,32,single,primary,1721,no,1,213.1
10371,1,35,divorced,secondary,-435,yes,1,274.4
10372,1,51,married,tertiary,-11,yes,0,262.7
10373,1,45,married,secondary,137,no,1,321.3
10374,0,32,married,secondary,1694,yes,1,211.1
10375,0,54,married,secondary,0,no,0,243.8
10376,0,29,married,secondary,912,yes,1,209.4
10377,1,32,married,secondary,3107,yes,0,213.9
10378,1,42,married,primary,1048,yes,1,280.8
10379,1,37,married,tertiary,1699,yes,1,289.7
10380,1,40,married,primary,0,yes,1,270.6
10381,0,27,single,secondary,259,yes,1,216.6
10382,0,59,married,tertiary,345,yes,1,323.5
10383,1,30,divorced,secondary,459,yes,1,263.9
10384,0,51,single,secondary,0,yes,0,230.4
10385,1,40,married,secondary,60,no,0,212.2
10386,0,53,married,secondary,12,no,0,246.7
10387,1,35,single,secondary,0,no,1,219.2
10388,1,42,single,tertiary,10907,yes,1,298.7
10389,1,40,married,secondary,5,no,1,283.1
10390,1,32,single,tertiary,11797,yes,1,239.3
10391,0,35,married,secondary,285,yes,1,233.3
10392,0,70,divorced,tertiary,1164,no,1,329.3
10393,1,34,married,primary,297,no,1,263
10394,0,29,single,tertiary,1070,yes,1,190.1
10395,1,32,married,tertiary,456,yes,1,230.8
10396,0,48,married,secondary,292,yes,1,272.3
10397,1,48,divorced,secondary,164,yes,1,335.1
10398,0,55,married,secondary,989,no,1,306.7
10399,1,36,single,primary,342,yes,1,278
10400,0,42,married,secondary,308,yes,1,254.8
10401,1,37,married,secondary,0,no,1,301.8
10402,0,42,married,tertiary,515,yes,1,234.3
10403,1,44,single,tertiary,787,yes,0,309.4
10404,1,39,married,tertiary,800,no,1,267.7
10405,1,39,divorced,secondary,687,yes,1,283.9
10406,1,33,married,secondary,4020,yes,0,209.8
10407,0,48,married,secondary,302,yes,1,271.6
10408,0,44,married,unknown,878,yes,1,273
10409,1,55,married,tertiary,16,no,1,312.8
10410,0,36,married,secondary,837,no,1,217.4
10411,1,58,divorced,tertiary,1665,yes,0,284
10412,1,84,married,primary,639,no,1,396.9
10413,0,33,married,tertiary,133,no,1,254.2
10414,0,52,married,tertiary,2347,no,0,252.2
10415,1,40,married,primary,11084,yes,1,266.3
10416,0,41,married,tertiary,3992,yes,1,270.7
10417,0,43,married,tertiary,192,no,1,254.4
10418,1,49,single,tertiary,273,yes,0,260.6
10419,1,55,married,tertiary,2275,no,1,335.7
10420,0,40,married,tertiary,51,no,0,218.4
10421,1,52,married,tertiary,199,yes,0,289.2
10422,1,27,married,tertiary,2171,yes,0,158.9
10423,0,58,married,secondary,1831,no,0,283.2
10424,1,39,married,secondary,-540,yes,0,219.5
10425,0,43,married,secondary,8167,yes,1,280.6
10426,0,43,divorced,secondary,1413,yes,0,190.1
10427,1,56,married,primary,2959,yes,0,301.1
10428,1,77,married,tertiary,8304,no,0,361.4
10429,0,53,married,primary,263,yes,1,257.3
10430,1,45,married,secondary,185,yes,1,336.7
10431,1,44,married,secondary,-237,no,1,322.4
10432,0,46,divorced,secondary,757,no,1,341.3
10433,0,42,married,tertiary,792,yes,0,246.4
10434,0,57,single,secondary,3,no,0,277.4
10435,1,49,single,tertiary,1499,yes,0,287.9
10436,1,40,married,primary,838,yes,0,271.2
10437,1,41,single,secondary,618,no,1,245.8
10438,0,37,married,tertiary,67,yes,1,227
10439,0,28,single,secondary,16,yes,1,285.1
10440,0,32,single,secondary,1100,no,1,192.3
10441,1,30,single,secondary,6495,yes,0,203.2
10442,0,31,single,primary,454,yes,1,261.2
10443,0,52,married,secondary,196,yes,0,263.7
10444,1,32,married,secondary,456,yes,0,197.4
10445,1,26,single,secondary,668,no,1,217.6
10446,0,35,married,tertiary,0,no,0,255.4
10447,1,41,married,secondary,326,yes,1,251.2
10448,1,30,single,secondary,2145,no,1,230.9
10449,0,33,married,primary,932,yes,1,229.1
10450,0,47,married,secondary,3681,yes,1,291.7
10451,0,39,divorced,secondary,1927,yes,0,205.9
10452,0,52,married,secondary,6922,no,0,242.5
10453,1,45,married,secondary,473,no,1,270.4
10454,0,53,married,secondary,94,yes,1,312.7
10455,1,47,married,primary,1544,yes,0,275.2
10456,1,30,single,secondary,799,yes,1,271.8
10457,0,51,married,primary,500,yes,0,248.7
10458,1,33,married,secondary,3074,no,1,255.2
10459,1,38,married,tertiary,1370,yes,0,233.6
10460,1,57,married,tertiary,3777,yes,0,291.6
10461,1,32,single,secondary,656,no,1,242.5
10462,0,51,married,secondary,0,yes,1,335.1
10463,1,26,married,primary,479,no,1,263.1
10464,1,41,single,secondary,764,yes,0,232.4
10465,0,44,married,secondary,1707,yes,0,244.9
10466,1,53,married,unknown,0,no,0,274.6
10467,1,42,married,secondary,1932,yes,1,324
10468,0,47,married,secondary,459,yes,0,247.7
10469,0,44,divorced,secondary,221,yes,0,247.7
10470,1,36,married,secondary,1852,no,1,283.2
10471,0,31,married,secondary,1545,yes,1,221.6
10472,0,46,married,unknown,665,no,1,252.5
10473,1,38,married,unknown,0,yes,1,272.8
10474,0,48,married,tertiary,425,no,1,291
10475,1,51,single,secondary,2139,yes,1,321.4
10476,0,57,married,tertiary,282,no,1,299.8
10477,1,34,married,tertiary,176,yes,1,291.5
10478,0,47,single,tertiary,3727,no,1,276.9
10479,1,55,married,secondary,383,yes,1,333.6
10480,0,46,divorced,primary,92,no,1,260.6
10481,0,36,single,tertiary,0,no,1,253.9
10482,0,26,married,tertiary,0,yes,0,172.9
10483,1,30,single,tertiary,1922,no,0,232.5
10484,1,37,divorced,tertiary,792,yes,1,270.8
10485,1,54,divorced,secondary,2171,yes,1,311.3
10486,1,34,married,tertiary,1,no,0,216.4
10487,0,33,divorced,tertiary,5,yes,1,214.1
10488,1,28,single,secondary,224,yes,1,238.6
10489,1,34,single,unknown,872,yes,1,229.2
10490,1,50,divorced,secondary,0,no,1,311
10491,1,52,married,secondary,2,no,1,351.1
10492,1,51,married,secondary,0,no,1,301.1
10493,0,48,married,secondary,0,no,1,301.7
10494,0,39,married,secondary,98,yes,0,239.9
10495,1,30,married,secondary,0,yes,1,249.9
10496,1,32,married,tertiary,55,no,1,262.3
10497,1,57,married,tertiary,-464,no,1,342
10498,0,39,married,primary,2,no,1,249.2
10499,0,41,married,tertiary,28,yes,0,241.7
10500,0,41,married,secondary,55,no,1,236
10501,1,45,married,primary,5450,no,1,306.8
10502,1,54,married,secondary,3,yes,1,329.8
10503,1,29,single,secondary,218,yes,0,198.5
10504,1,70,married,tertiary,4130,no,1,366.1
10505,1,33,married,secondary,50,no,0,240.1
10506,1,43,married,tertiary,1937,yes,0,257.6
10507,1,46,single,tertiary,1790,yes,1,340.1
10508,1,43,married,secondary,104,no,1,281.8
10509,0,44,divorced,tertiary,220,yes,0,221.3
10510,0,36,single,primary,398,yes,0,187.2
10511,0,36,single,secondary,1482,yes,0,184.1
10512,1,63,single,secondary,1574,no,1,360.3
10513,0,47,married,secondary,0,yes,0,230.5
10514,1,55,married,tertiary,203,no,1,326.5
10515,1,31,married,tertiary,22546,yes,0,249.6
10516,0,44,married,unknown,3463,yes,0,239.8
10517,1,50,married,tertiary,8139,no,1,297.9
10518,0,59,married,tertiary,0,no,1,302.2
10519,0,36,single,secondary,391,no,1,250.2
10520,1,38,married,secondary,-70,yes,1,245.1
10521,0,49,married,tertiary,2576,no,1,276
10522,1,34,married,secondary,1657,no,0,204.5
10523,1,76,married,primary,8304,no,1,395
10524,0,40,married,secondary,-839,yes,1,264.7
10525,0,66,married,secondary,16353,no,1,346.1
10526,0,55,married,tertiary,6880,yes,1,293.1
10527,0,40,married,secondary,61,yes,1,291.6
10528,1,32,married,tertiary,150,yes,1,231.4
10529,0,57,married,secondary,1469,yes,0,266.8
10530,0,34,married,tertiary,1539,yes,1,223.5
10531,0,53,divorced,tertiary,0,yes,1,322.7
10532,0,32,married,primary,401,yes,0,190.2
10533,0,41,single,unknown,428,yes,1,289.5
10534,0,34,married,secondary,20,no,1,238.6
10535,1,38,married,secondary,4030,yes,1,256.7
10536,0,49,single,primary,133,no,1,324.4
10537,1,46,single,secondary,834,no,0,254.6
10538,1,32,single,unknown,2343,no,1,239.7
10539,1,41,married,primary,4824,no,1,293.2
10540,0,57,single,tertiary,2416,no,1,300.4
10541,0,41,married,tertiary,4,no,0,228.8
10542,0,54,married,secondary,209,yes,1,306.3
10543,1,40,married,secondary,257,yes,0,224.1
10544,0,25,single,tertiary,-80,yes,1,214.8
10545,0,40,single,secondary,591,yes,1,235.9
10546,0,37,married,tertiary,0,no,1,231.5
10547,0,33,married,secondary,687,yes,0,194
10548,1,35,married,tertiary,378,yes,1,277.7
10549,0,51,married,primary,5108,yes,0,234.9
10550,1,47,divorced,secondary,3250,yes,1,310.5
10551,1,37,married,tertiary,3288,no,1,253.6
10552,0,60,married,secondary,55,no,0,265.4
10553,1,51,married,secondary,2094,no,0,248.5
10554,1,31,single,secondary,25,no,1,266.5
10555,1,29,married,primary,3825,yes,0,175.6
10556,1,25,single,tertiary,468,yes,0,184.3
10557,0,32,married,tertiary,913,yes,1,235.3
10558,0,47,single,secondary,4402,no,0,240.8
10559,1,39,divorced,secondary,212,yes,0,248.3
10560,0,58,divorced,tertiary,887,no,0,322.2
10561,1,56,married,secondary,784,yes,1,318
10562,1,36,married,tertiary,1825,yes,1,270.6
10563,0,31,married,tertiary,500,yes,0,180.1
10564,1,49,divorced,primary,624,no,1,292.3
10565,0,45,single,tertiary,13117,no,0,258.5
10566,0,30,married,secondary,1476,yes,1,230.7
10567,0,32,married,unknown,101,no,0,143.4
10568,1,33,married,secondary,2098,yes,1,246.3
10569,0,52,married,secondary,2072,no,0,276.5
10570,1,59,single,secondary,179,yes,1,357.1
10571,1,26,single,primary,396,yes,1,237.2
10572,1,42,divorced,secondary,63,no,1,296.3
10573,0,48,married,secondary,3230,yes,1,258.4
10574,0,29,married,secondary,242,yes,1,219.8
10575,0,58,married,secondary,299,no,0,318.2
